Feast|Number|IsChorus|Text
Elevation of the Precious and Life-Giving Cross|1|0|O God, my God, hear me; why have You forsaken me?
Elevation of the Precious and Life-Giving Cross|1|0|The words of my transgressions are far from my salvation.
Elevation of the Precious and Life-Giving Cross|1|0|O my God, I will cry out by day, but You will not hear me.
Elevation of the Precious and Life-Giving Cross|1|0|But You dwell among the saints, O praise of Israel.
Elevation of the Precious and Life-Giving Cross|1|0|Glory...both now and ever...
Elevation of the Precious and Life-Giving Cross|1|1|Through the intercessions of the Theotokos, Savior, save us.|
Elevation of the Precious and Life-Giving Cross|2|0|O God, why have You rejected us to the end?
Elevation of the Precious and Life-Giving Cross|2|0|Remember Your congregation You acquired from the beginning.
Elevation of the Precious and Life-Giving Cross|2|0|This Mount Zion, where You encamped.
Elevation of the Precious and Life-Giving Cross|2|0|God is our King before the ages; He worked salvation in the midst of the earth.
Elevation of the Precious and Life-Giving Cross|2|0|Glory...both now and ever...
Elevation of the Precious and Life-Giving Cross|2|1|Save us, O Son of God, who were crucified in the flesh. We sing to You, Alleluia.
Elevation of the Precious and Life-Giving Cross|3|0|The Lord reigns; let the peoples be angry.
Elevation of the Precious and Life-Giving Cross|3|0|The Lord is great in Zion, and He is exalted.
Elevation of the Precious and Life-Giving Cross|3|0|Let them give thanks to Your great name.
Elevation of the Precious and Life-Giving Cross|3|1|Save, O Lord, Your people and bless Your inheritance, granting victory to the faithful over the enemy, and by Your Cross protecting Your commonwealth.
Afterfeast of the Elevation of the Cross|1|0|O God, my God, hear me; why have You forsaken me?
Afterfeast of the Elevation of the Cross|1|0|The words of my transgressions are far from my salvation.
Afterfeast of the Elevation of the Cross|1|0|O my God, I will cry out by day, but You will not hear me.
Afterfeast of the Elevation of the Cross|1|0|But You dwell among the saints, O praise of Israel.
Afterfeast of the Elevation of the Cross|1|0|Glory...both now and ever...
Afterfeast of the Elevation of the Cross|1|1|Through the intercessions of the Theotokos, Savior, save us.|
Afterfeast of the Elevation of the Cross|2|0|O God, why have You rejected us to the end?
Afterfeast of the Elevation of the Cross|2|0|Remember Your congregation You acquired from the beginning.
Afterfeast of the Elevation of the Cross|2|0|This Mount Zion, where You encamped.
Afterfeast of the Elevation of the Cross|2|0|God is our King before the ages; He worked salvation in the midst of the earth.
Afterfeast of the Elevation of the Cross|2|0|Glory...both now and ever...
Afterfeast of the Elevation of the Cross|2|1|Save us, O Son of God, who were crucified in the flesh. We sing to You, Alleluia.
Afterfeast of the Elevation of the Cross|3|0|The Lord reigns; let the peoples be angry.
Afterfeast of the Elevation of the Cross|3|0|The Lord is great in Zion, and He is exalted.
Afterfeast of the Elevation of the Cross|3|0|Let them give thanks to Your great name.
Afterfeast of the Elevation of the Cross|3|1|Save, O Lord, Your people and bless Your inheritance, granting victory to the faithful over the enemy, and by Your Cross protecting Your commonwealth.
Leavetaking of the Elevation of the Precious and Lifegiving Cross|1|0|O God, my God, hear me; why have You forsaken me?
Leavetaking of the Elevation of the Precious and Lifegiving Cross|1|0|The words of my transgressions are far from my salvation.
Leavetaking of the Elevation of the Precious and Lifegiving Cross|1|0|O my God, I will cry out by day, but You will not hear me.
Leavetaking of the Elevation of the Precious and Lifegiving Cross|1|0|But You dwell among the saints, O praise of Israel.
Leavetaking of the Elevation of the Precious and Lifegiving Cross|1|0|Glory...both now and ever...
Leavetaking of the Elevation of the Precious and Lifegiving Cross|1|1|Through the intercessions of the Theotokos, Savior, save us.|
Leavetaking of the Elevation of the Precious and Lifegiving Cross|2|0|O God, why have You rejected us to the end?
Leavetaking of the Elevation of the Precious and Lifegiving Cross|2|0|Remember Your congregation You acquired from the beginning.
Leavetaking of the Elevation of the Precious and Lifegiving Cross|2|0|This Mount Zion, where You encamped.
Leavetaking of the Elevation of the Precious and Lifegiving Cross|2|0|God is our King before the ages; He worked salvation in the midst of the earth.
Leavetaking of the Elevation of the Precious and Lifegiving Cross|2|0|Glory...both now and ever...
Leavetaking of the Elevation of the Precious and Lifegiving Cross|2|1|Save us, O Son of God, who were crucified in the flesh. We sing to You, Alleluia.
Leavetaking of the Elevation of the Precious and Lifegiving Cross|3|0|The Lord reigns; let the peoples be angry.
Leavetaking of the Elevation of the Precious and Lifegiving Cross|3|0|The Lord is great in Zion, and He is exalted.
Leavetaking of the Elevation of the Precious and Lifegiving Cross|3|0|Let them give thanks to Your great name.
Leavetaking of the Elevation of the Precious and Lifegiving Cross|3|1|Save, O Lord, Your people and bless Your inheritance, granting victory to the faithful over the enemy, and by Your Cross protecting Your commonwealth.
